"","Rank","Bib","Name","Nation","Sexo","Date","Time","WMTRC","Race"
"511","44",709,"Charlotte COTTON","BEL","Female",2022-11-06,00:57:33,"Amazing Thailand","Up and Downhill Mountain Race"
"512","45",705,"Simone BRICK","AUS","Female",2022-11-06,00:57:51,"Amazing Thailand","Up and Downhill Mountain Race"
"513","46",703,"Fernanda Erica MARTINEZ","ARG","Female",2022-11-06,00:58:04,"Amazing Thailand","Up and Downhill Mountain Race"
"514","47",743,"Sarah DOUGLAS","NZL","Female",2022-11-06,00:59:35,"Amazing Thailand","Up and Downhill Mountain Race"
"515","48",710,"Laurie PHAI","CAM","Female",2022-11-06,00:59:41,"Amazing Thailand","Up and Downhill Mountain Race"
"516","49",724,"Andrea RICO GONZÁLEZ","ESP","Female",2022-11-06,00:59:47,"Amazing Thailand","Up and Downhill Mountain Race"
"517","50",742,"Yadira FRANCO","MEX","Female",2022-11-06,01:00:35,"Amazing Thailand","Up and Downhill Mountain Race"
"518","51",715,"Cristina Isabel BARRIGA CATELICAN","CHI","Female",2022-11-06,01:00:40,"Amazing Thailand","Up and Downhill Mountain Race"
"519","52",774,"Paola MARTINEZ","VEN","Female",2022-11-06,01:02:16,"Amazing Thailand","Up and Downhill Mountain Race"
"520","53",756,"Woraphan NUANLSRI","THA","Female",2022-11-06,01:02:37,"Amazing Thailand","Up and Downhill Mountain Race"
"521","54",753,"Selina BURCH","SUI","Female",2022-11-06,01:05:16,"Amazing Thailand","Up and Downhill Mountain Race"
"522","55",775,"Dinaira GONZALEZ","VEN","Female",2022-11-06,01:08:11,"Amazing Thailand","Up and Downhill Mountain Race"
"523","56",759,"Natthaya THANARONNAWAT","THA","Female",2022-11-06,01:10:39,"Amazing Thailand","Up and Downhill Mountain Race"
"524","57",757,"Jetnipit RUANGMAK","THA","Female",2022-11-06,01:13:08,"Amazing Thailand","Up and Downhill Mountain Race"
"525","58",711,"Aline SENG","CAM","Female",2022-11-06,01:14:11,"Amazing Thailand","Up and Downhill Mountain Race"
"526","59",712,"Muyngim ENG","CAM","Female",2022-11-06,01:17:08,"Amazing Thailand","Up and Downhill Mountain Race"
"527","60",758,"Krittika HOUNGSUWANNAKORN","THA","Female",2022-11-06,01:18:02,"Amazing Thailand","Up and Downhill Mountain Race"
"528","61",704,"Silvia Adriana GONZALEZ VICTORICA","ARG","Female",2022-11-06,01:44:09,"Amazing Thailand","Up and Downhill Mountain Race"
"529","DNF",713,"Sasha GOLLISH","CAN","Female",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"530","DNF",741,"Joyce NJERU","KEN","Female",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"531","DNF",762,"Rispa CHEROP","UGA","Female",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"532","DNS",732,"Vilma Maria ESCOTO RODRIGUEZ","HON","Female",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"533","DNS",749,"Denisa Ionela DRAGOMIR","ROU","Female",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"534","1",861,"Samuel KIBET","UGA","Male",2022-11-06,00:40:02,"Amazing Thailand","Up and Downhill Mountain Race"
"535","2",841,"Patrick KIPNGENO","KEN","Male",2022-11-06,00:40:12,"Amazing Thailand","Up and Downhill Mountain Race"
"536","3",860,"Timothy TOROITICH","UGA","Male",2022-11-06,00:40:26,"Amazing Thailand","Up and Downhill Mountain Race"
"537","4",660,"Leonard CHEMONGES","UGA","Male",2022-11-06,00:40:51,"Amazing Thailand","Up and Downhill Mountain Race"
"538","5",862,"Eliud CHEROP","UGA","Male",2022-11-06,00:41:27,"Amazing Thailand","Up and Downhill Mountain Race"
"539","6",824,"Andreu BLANES REIG","ESP","Male",2022-11-06,00:41:31,"Amazing Thailand","Up and Downhill Mountain Race"
"540","7",837,"Alberto VENDER","ITA","Male",2022-11-06,00:42:26,"Amazing Thailand","Up and Downhill Mountain Race"
"541","8",825,"Oriol CARDONA COLL","ESP","Male",2022-11-06,00:42:44,"Amazing Thailand","Up and Downhill Mountain Race"
"542","9",835,"Cesare MAESTRI","ITA","Male",2022-11-06,00:42:47,"Amazing Thailand","Up and Downhill Mountain Race"
"543","10",821,"Jáchym KOVÁŘ","CZE","Male",2022-11-06,00:42:48,"Amazing Thailand","Up and Downhill Mountain Race"
"544","11",820,"Marek CHRASCINA","CZE","Male",2022-11-06,00:42:57,"Amazing Thailand","Up and Downhill Mountain Race"
"545","12",831,"Théodore KLEIN","FRA","Male",2022-11-06,00:43:01,"Amazing Thailand","Up and Downhill Mountain Race"
"546","12",851,"Joey HADORN","SUI","Male",2022-11-06,00:43:01,"Amazing Thailand","Up and Downhill Mountain Race"
"547","14",834,"Xavier CHEVRIER","ITA","Male",2022-11-06,00:43:16,"Amazing Thailand","Up and Downhill Mountain Race"
"548","15",827,"Alejandro GARCIA  CARRILLO","ESP","Male",2022-11-06,00:43:23,"Amazing Thailand","Up and Downhill Mountain Race"
"549","16",873,"Daniel CURTS","USA","Male",2022-11-06,00:43:35,"Amazing Thailand","Up and Downhill Mountain Race"
"550","17",864,"Andrew DOUGLAS","GBR","Male",2022-11-06,00:43:39,"Amazing Thailand","Up and Downhill Mountain Race"
"551","18",843,"Everardo MORENO","MEX","Male",2022-11-06,00:43:41,"Amazing Thailand","Up and Downhill Mountain Race"
"552","19",826,"Miquel CORBERA RUBIO","ESP","Male",2022-11-06,00:43:44,"Amazing Thailand","Up and Downhill Mountain Race"
"553","20",847,"Halfdan-Emil FÆRØ","NOR","Male",2022-11-06,00:43:54,"Amazing Thailand","Up and Downhill Mountain Race"
"554","20",865,"Ross GOLLAN","GBR","Male",2022-11-06,00:43:54,"Amazing Thailand","Up and Downhill Mountain Race"
"555","22",822,"Viktor ŠINÁGL","CZE","Male",2022-11-06,00:43:58,"Amazing Thailand","Up and Downhill Mountain Race"
"556","23",830,"Baptiste FOURMONT","FRA","Male",2022-11-06,00:44:01,"Amazing Thailand","Up and Downhill Mountain Race"
"557","24",866,"Chris RICHARDS","GBR","Male",2022-11-06,00:44:08,"Amazing Thailand","Up and Downhill Mountain Race"
"558","25",850,"Jonas SOLDINI","SUI","Male",2022-11-06,00:44:10,"Amazing Thailand","Up and Downhill Mountain Race"
"559","26",842,"David SANTIAGO","MEX","Male",2022-11-06,00:44:11,"Amazing Thailand","Up and Downhill Mountain Race"
"560","27",808,"Maximilien DRION DU CHAPOIS","BEL","Male",2022-11-06,00:44:15,"Amazing Thailand","Up and Downhill Mountain Race"
"561","28",863,"Alexander CHEPELIN","GBR","Male",2022-11-06,00:44:22,"Amazing Thailand","Up and Downhill Mountain Race"
"562","29",836,"Daniel PATTIS","ITA","Male",2022-11-06,00:44:25,"Amazing Thailand","Up and Downhill Mountain Race"
"563","30",812,"Alexandre RICARD","CAN","Male",2022-11-06,00:44:29,"Amazing Thailand","Up and Downhill Mountain Race"
"564","31",832,"Killian ALLAIRE","FRA","Male",2022-11-06,00:44:36,"Amazing Thailand","Up and Downhill Mountain Race"
"565","32",814,"Remi LEROUX","CAN","Male",2022-11-06,00:45:01,"Amazing Thailand","Up and Downhill Mountain Race"
"566","33",838,"Toru MIYAHARA","JPN","Male",2022-11-06,00:45:08,"Amazing Thailand","Up and Downhill Mountain Race"
"567","33",853,"Pascal BUCHS","SUI","Male",2022-11-06,00:45:08,"Amazing Thailand","Up and Downhill Mountain Race"
"568","35",852,"Fabian AEBERSOLD","SUI","Male",2022-11-06,00:45:17,"Amazing Thailand","Up and Downhill Mountain Race"
"569","36",844,"Cesar Daniel GOMEZ","MEX","Male",2022-11-06,00:45:33,"Amazing Thailand","Up and Downhill Mountain Race"
"570","37",870,"Andy WACKER","USA","Male",2022-11-06,00:45:45,"Amazing Thailand","Up and Downhill Mountain Race"
"571","38",816,"Diego Ignacio DIAZ INOSTROZA","CHI","Male",2022-11-06,00:45:58,"Amazing Thailand","Up and Downhill Mountain Race"
"572","39",871,"Mason COPPI","USA","Male",2022-11-06,00:46:12,"Amazing Thailand","Up and Downhill Mountain Race"
"573","40",805,"Leo PETERSON","AUS","Male",2022-11-06,00:46:21,"Amazing Thailand","Up and Downhill Mountain Race"
"574","41",849,"Carlos LOPES","POR","Male",2022-11-06,00:47:04,"Amazing Thailand","Up and Downhill Mountain Race"
"575","42",872,"Morgan ELLIOTT","USA","Male",2022-11-06,00:47:16,"Amazing Thailand","Up and Downhill Mountain Race"
"576","43",817,"Gabriel Halans MUÑOZ FLORES","CHI","Male",2022-11-06,00:47:26,"Amazing Thailand","Up and Downhill Mountain Race"
"577","44",801,"Braian BURGOS","ARG","Male",2022-11-06,00:47:50,"Amazing Thailand","Up and Downhill Mountain Race"
"578","45",846,"Johan BUGGE","NOR","Male",2022-11-06,00:47:58,"Amazing Thailand","Up and Downhill Mountain Race"
"579","46",823,"Oscar BASANTES","ECU","Male",2022-11-06,00:48:04,"Amazing Thailand","Up and Downhill Mountain Race"
"580","47",818,"Hugo Felipe CONTRERAS CAMPOS","CHI","Male",2022-11-06,00:48:05,"Amazing Thailand","Up and Downhill Mountain Race"
"581","48",848,"Øyvind HEIBERG SUNDBY","NOR","Male",2022-11-06,00:48:17,"Amazing Thailand","Up and Downhill Mountain Race"
"582","49",809,"Thibault TRIAILLE","BEL","Male",2022-11-06,00:48:47,"Amazing Thailand","Up and Downhill Mountain Race"
"583","50",804,"Ezequiel Antonio LOPEZ","ARG","Male",2022-11-06,00:49:01,"Amazing Thailand","Up and Downhill Mountain Race"
"584","51",839,"Yamato YOSHINO","JPN","Male",2022-11-06,00:49:25,"Amazing Thailand","Up and Downhill Mountain Race"
"585","52",806,"Nathan PEARCE","AUS","Male",2022-11-06,00:49:34,"Amazing Thailand","Up and Downhill Mountain Race"
"586","53",859,"Sanchai NAMKHET","THA","Male",2022-11-06,00:49:36,"Amazing Thailand","Up and Downhill Mountain Race"
"587","54",813,"Shaun STEPHENS-WHALE","CAN","Male",2022-11-06,00:50:20,"Amazing Thailand","Up and Downhill Mountain Race"
"588","55",819,"Nicolas Ignacio BENAVIDES BOHIE","CHI","Male",2022-11-06,00:52:12,"Amazing Thailand","Up and Downhill Mountain Race"
"589","56",858,"Danchai PANKONG","THA","Male",2022-11-06,00:53:19,"Amazing Thailand","Up and Downhill Mountain Race"
"590","57",856,"Seksan JAKKAEW","THA","Male",2022-11-06,00:54:34,"Amazing Thailand","Up and Downhill Mountain Race"
"591","58",857,"Karn AUNREUN","THA","Male",2022-11-06,01:00:03,"Amazing Thailand","Up and Downhill Mountain Race"
"592","59",807,"Gaetan PIETTE","BEL","Male",2022-11-06,01:03:54,"Amazing Thailand","Up and Downhill Mountain Race"
"593","60",810,"Farrell HEDRICK","CAM","Male",2022-11-06,01:10:30,"Amazing Thailand","Up and Downhill Mountain Race"
"594","61",811,"Ammarith ANN","CAM","Male",2022-11-06,01:17:05,"Amazing Thailand","Up and Downhill Mountain Race"
"595","DNF",802,"Javier Adolfo CARRIQUEO","ARG","Male",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"596","DNF",803,"Nahuel Aurelio LUENGO","ARG","Male",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"597","DNF",829,"Sylvain CACHARD","FRA","Male",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"598","DNF",840,"Philemon KIRIAGO","KEN","Male",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"599","DNS",833,"Kelvin Josue GALLO","HON","Male",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"600","DNS",875,"Dejan ANGELOSKI","MKD","Male",2022-11-06,NA,"Amazing Thailand","Up and Downhill Mountain Race"
"601","1",923,"Jessica BAILEY","GBR","Female",2022-11-06,00:26:27,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"602","2",924,"Rebecca FLAHERTY","GBR","Female",2022-11-06,00:27:45,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"603","3",913,"Axelle VICARI","ITA","Female",2022-11-06,00:28:21,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"604","4",926,"Ellen WEIR","GBR","Female",2022-11-06,00:28:28,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"605","5",912,"Anna HOFER","ITA","Female",2022-11-06,00:28:32,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"606","5",929,"Oakley OLSON","USA","Female",2022-11-06,00:28:32,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"607","7",907,"Lili Anne BECK","FRA","Female",2022-11-06,00:28:59,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"608","8",909,"Pauline TROCELLIER","FRA","Female",2022-11-06,00:29:13,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"609","9",905,"Blanca BATLLE BUSQUET","ESP","Female",2022-11-06,00:29:17,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"610","10",914,"Emily VUCEMILLO","ITA","Female",2022-11-06,00:29:52,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"611","11",917,"Mariel SALAZAR","MEX","Female",2022-11-06,00:29:56,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"612","12",906,"Gemma REBOLLO OSMA","ESP","Female",2022-11-06,00:29:58,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"613","13",928,"Samantha BLAIR","USA","Female",2022-11-06,00:30:00,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"614","14",908,"Nélie CLEMENT","FRA","Female",2022-11-06,00:30:23,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"615","15",918,"Sonia GONZALEZ","MEX","Female",2022-11-06,00:30:33,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"616","16",910,"Fannie SAPET","FRA","Female",2022-11-06,00:31:10,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"617","17",919,"Sofia PEÑA","MEX","Female",2022-11-06,00:31:23,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"618","18",901,"Shalom Eunice LESCANO","ARG","Female",2022-11-06,00:31:49,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"619","18",925,"Emily GIBBINS","GBR","Female",2022-11-06,00:31:49,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"620","20",930,"Willow LOTT","USA","Female",2022-11-06,00:32:15,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"621","21",911,"Matilde BONINO","ITA","Female",2022-11-06,00:32:43,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"622","22",903,"Ludmila Abigail SALGUERO","ARG","Female",2022-11-06,00:36:27,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"623","23",922,"Nuttakamon MONMEOY","THA","Female",2022-11-06,00:37:53,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"624","24",920,"Ravint WONGRATANAPHISAN","THA","Female",2022-11-06,00:38:05,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"625","25",904,"Camila DE LA COLINA","ARG","Female",2022-11-06,00:38:26,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"626","26",921,"Nattayada RUANPOR","THA","Female",2022-11-06,00:41:55,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"627","1",980,"Leonard CHEMUTAI","UGA","Male",2022-11-06,00:21:07,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"628","2",658,"Caleb Arap Musobo TUNGWET","UGA","Male",2022-11-06,00:21:44,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"629","3",981,"Denis KIPLANGAT","UGA","Male",2022-11-06,00:22:18,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"630","4",979,"Silas ROTICH","UGA","Male",2022-11-06,00:23:01,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"631","5",984,"Finlay GRANT","GBR","Male",2022-11-06,00:23:26,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"632","6",957,"Fabian VENERO JIMENEZ","ESP","Male",2022-11-06,00:23:28,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"633","7",960,"Baptiste CARTIEAUX","FRA","Male",2022-11-06,00:23:29,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"634","7",989,"Michael MAIORANO","USA","Male",2022-11-06,00:23:29,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"635","9",967,"Elia MATTIO","ITA","Male",2022-11-06,00:23:51,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"636","10",983,"Fraser GILMOUR","GBR","Male",2022-11-06,00:23:58,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"637","11",961,"Pierre BOUDY","FRA","Male",2022-11-06,00:24:02,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"638","12",958,"Marcos VILLAMUERA IZQUIERDO","ESP","Male",2022-11-06,00:24:03,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"639","12",973,"Eduardo PICHARDO","MEX","Male",2022-11-06,00:24:03,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"640","14",971,"Tomas REYES","MEX","Male",2022-11-06,00:24:07,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"641","15",963,"Mélaine LE PALABE","FRA","Male",2022-11-06,00:24:28,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"642","16",970,"Manuel SANTIAGO","MEX","Male",2022-11-06,00:24:29,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"643","17",965,"Simone GIOLITTI","ITA","Male",2022-11-06,00:24:36,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"644","18",972,"Miguel Angel LOPEZ","MEX","Male",2022-11-06,00:24:41,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"645","19",985,"William LONGDEN","GBR","Male",2022-11-06,00:24:45,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"646","20",962,"Antonin THEROND","FRA","Male",2022-11-06,00:24:46,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"647","21",955,"Alvaro OSANZ LABORDA","ESP","Male",2022-11-06,00:24:50,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"648","22",964,"Matteo BARDEA","ITA","Male",2022-11-06,00:24:52,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"649","23",956,"Jan TORRELLA OLLER","ESP","Male",2022-11-06,00:24:56,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"650","24",966,"Nicolò LORA MORETTO","ITA","Male",2022-11-06,00:25:01,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"651","25",987,"Christian GROENDYK","USA","Male",2022-11-06,00:25:21,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"652","26",982,"Edward CORDEN","GBR","Male",2022-11-06,00:26:04,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"653","27",988,"Ignatius FITZGERALD","USA","Male",2022-11-06,00:26:07,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"654","28",952,"Tomas Ariel LIFONA","ARG","Male",2022-11-06,00:26:36,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"655","29",953,"Zack NEWSHAM","AUS","Male",2022-11-06,00:27:06,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"656","30",990,"Dalton KAINES","USA","Male",2022-11-06,00:27:37,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"657","31",974,"Benjamin RICKERBY","NZL","Male",2022-11-06,00:27:48,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"658","32",975,"Pornchinrat JAMROON","THA","Male",2022-11-06,00:28:11,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"659","33",951,"Diego REBOLLEDO","ARG","Male",2022-11-06,00:28:43,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"660","34",954,"Toby LANG","AUS","Male",2022-11-06,00:29:46,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"661","35",977,"Itthipon KOKTHONGKHAM","THA","Male",2022-11-06,00:32:27,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"662","36",976,"Nubngern LAPPOONTAVEE","THA","Male",2022-11-06,00:33:02,"Amazing Thailand","Junior Up and Downhill Mountain Race"
"663","36",978,"Ittipat KODKAEW","THA","Male",2022-11-06,00:33:02,"Amazing Thailand","Junior Up and Downhill Mountain Race"
